지점명,year,평균기온(℃),평균최고기온(℃),highest,평균최저,lowest
서울,1907,,,25.4,,-20.1
서울,1908,10.4,15.7,33.6,5.8,-15.8
서울,1909,10.6,16,35.6,5.8,-14.6
서울,1910,10.3,15.9,33.3,5.7,-19.9
서울,1911,10.6,15.9,34.5,6,-21.5
서울,1912,10.1,15.6,34,5.1,-18.6
서울,1913,10,15.6,31.7,4.9,-19.6
서울,1914,12,17,35.6,7.7,-14
서울,1915,10.8,15.8,34.8,6.6,-21.3
서울,1916,10.9,16.5,33.2,6.4,-19
서울,1917,9.8,15.5,36.7,4.8,-21.1
서울,1918,10.5,16.1,36.1,5.6,-21.8
서울,1919,11.1,16.8,37.5,6,-19.3
서울,1920,11.4,16.9,35.6,6.3,-22.3
서울,1921,10.9,16.4,36,6.1,-15.3
서울,1922,10.8,16.3,36.3,5.9,-21
서울,1923,10.6,15.9,35.9,5.7,-20.4
서울,1924,11,16.6,37.4,5.8,-18.7
서울,1925,10.7,15.9,33.7,5.8,-17.4
서울,1926,10.5,15.6,33,5.6,-18.6
서울,1927,11,16.3,35,5.9,-23.1
서울,1928,11.1,16.6,35.2,5.9,-22.2
서울,1929,11.4,17.3,36.7,6.2,-17.5
서울,1930,11.8,17.4,37.4,6.6,-17.4
서울,1931,10.9,16.7,36,6.3,-22.5
서울,1932,11.6,17.5,37.2,7.2,-14.1
서울,1933,10.5,15.5,35.9,6.4,-18.4
서울,1934,10.1,15.1,33.4,5.8,-18.7
서울,1935,11.2,16.7,33.5,6.6,-16.9
서울,1936,9.8,15.1,34.3,5.3,-20.1
서울,1937,11.4,16.8,35.1,6.9,-16
서울,1938,10.9,16.3,35.6,6.4,-19
서울,1939,11.7,17.6,38.2,6.7,-19.6
서울,1940,10.8,16.3,34.3,6,-17.7
서울,1941,11.1,16.8,34.3,6.3,-20.4
서울,1942,10.9,16.6,36,5.9,-17.9
서울,1943,11.7,17.8,38.2,6.4,-18.6
서울,1944,10.9,16.6,36,6,-16.2
서울,1945,10.4,16,37,5.7,-19.1
서울,1946,11.3,16.9,36.7,6.6,-17
서울,1947,9.6,14.8,33.5,5,-17.3
서울,1948,11.7,17.3,34.4,6.9,-18
서울,1949,11.7,17.2,37.7,7.4,-14.9
서울,1950,,,36.9,,
서울,1951,,,,,
